"abn","geo-address","Health Board","hospital-name","hospital-type","phone-num-switch","related-hospital-expanded","related-hosp-peer-group","related-logo","related-job-lead","remoteness","state","stripe-ID","Creation Date","Modified Date","Slug","Creator","unique id"
"","175-177 Collins St, Hobart TAS 7000","","The Hobart Clinic","Private","","1693732778221x366135983862914560","1676964822581x774989221784000300","","","","TAS","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906712x214938197825547140"
"","401/100 Carillon Ave, Newtown NSW 2042","","Regional Imaging Cardiovascular Centre","Private","","1693732778069x618485148416305400","1676964822581x491854132623292600","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906720x961935582707964300"
"","","","Hastings Day Surgery","Private","","1693732777921x772720131067201400","1676964822581x739469821229507500","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906768x859765099119379100"
"","111 Princes Hwy, Ulladulla NSW 2539","","Ulladulla Endoscopy & Medical Centre","Private","","1693732777616x196654970174404480","1676964822581x739469821229507500","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906769x268474329266511500"
"","","","Wagga Endoscopy Centre","Private","","1693732777769x881839249876111400","1676964822581x739469821229507500","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906769x816700492840366700"
"","","","Coffs Harbour Day Surgical Centre","Private","","1693732777465x372169159897003140","1676964822581x970951213066857300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906819x587841207199668560"
"","262 Charles St, Launceston TAS 7250","","The Eye Hospital","Private","","1693732777169x356851768002726100","1676964822581x970951213066857300","","","","TAS","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906820x414971322253020200"
"","60 Lake Rd, Port Macquarie NSW 2444","","Coolenberg Day Surgery","Private","","1693732777316x169458652997719780","1676964822581x970951213066857300","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906820x647869148265971100"
"","30 Cascade Rd, South Hobart TAS 7004","","Calvary Health Care TASmania - Hobart","Private","","1693732777025x944367738509577000","1676964822585x839576983275709800","","","","TAS","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906849x619231784298504200"
"","26-36 Hardy Ave, Wagga Wagga NSW 2650","","Calvary Private Hospital Wagga Wagga","Private","","1693732776873x805646219088330600","1676964822585x278007903903493500","","","","NSW","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906935x347336366872857700"
"","280 North St, Rockville QLD 4350","","St Andrew's Toowoomba Hospital","Private","","1693732776569x187304565970519260","1676964822585x278007903903493500","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906939x618701177256865200"
"","19-23 Bingera St, Bundaberg West QLD 4670","","Friendly Society Private Hospital","Private","","1693732776721x469697440404320100","1676964822585x278007903903493500","","","","QLD","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906939x774352277729530000"
"","133-145 Lily St, Bendigo VIC 3550","","St John of God Bendigo Hospital","Private","","1693732776114x181160902333956640","1676964822585x278007903903493500","","","","VIC","","Feb 21, 2023 6:35 pm","Sep 3, 2023 7:19 pm","","(App admin)","1676964906940x361711665750872100"
